time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0.2,2.19885145275656,3.55099869082865,0.776762833383493,0,0,45069.4432510182,71782.2705623147,3961.26882595393
0.201,2.19898101079778,3.55088413538299,0.776714865648776,0,0,45070.744344321,71786.2722246545,3961.07520669913
0.202,2.19911056306083,3.55076957397317,0.776666898018863,0,0,45072.0452828094,71790.2736518151,3960.88157909427
0.203,2.19924010954384,3.55065500660092,0.776618930494349,0,0,45073.3460698856,71794.2748494174,3960.68794312047
0.204,2.19936965024495,3.55054043326795,0.77657096307583,0,0,45074.6467086333,71798.275822551,3960.49429876087
0.205,2.19949918516229,3.550425853976,0.776522995763899,0,0,45075.94720188,71802.2765758791,3960.30064600025
0.206,2.199628714294,3.55031126872677,0.776475028559148,0,0,45077.2475521541,71806.2771135661,3960.10698482532
0.207,2.19975823763822,3.550196677522,0.776427061462169,0,0,45078.5477617995,71810.2774394687,3959.91331522393
0.208,2.1998877551931,3.55008208036339,0.77637909447355,0,0,45079.8478329524,71814.2775570984,3959.71963718528
0.209,2.20001726695679,3.54996747725266,0.776331127593883,0,0,45081.1477674915,71818.2774695359,3959.52595070022
0.21,2.20014677292744,3.54985286819152,0.776283160823754,0,0,45082.4475671938,71822.2771796938,3959.33225576021
0.211,2.2002762731032,3.54973825318168,0.776235194163751,0,0,45083.7472336565,71826.2766901846,3959.13855235791
0.212,2.20040576748223,3.54962363222485,0.776187227614462,0,0,45085.0467683248,71830.2760033669,3958.94484048692
0.213,2.20053525606268,3.54950900532273,0.776139261176472,0,0,45086.3461725154,71834.2751213858,3958.75112014165
0.214,2.20066473884272,3.54939437247704,0.776091294850368,0,0,45087.6454474299,71838.2740461943,3958.55739131728
0.215,2.20079421582051,3.54927973368948,0.776043328636733,0,0,45088.9445941647,71842.2727795697,3958.36365400962
0.216,2.2009236869942,3.54916508896174,0.775995362536154,0,0,45090.2436137178,71846.271323126,3958.16990821515
0.217,2.20105315236196,3.54905043829555,0.775947396549214,0,0,45091.5425069653,71850.2696782732,3957.9761539311
0.218,2.20118261192197,3.5489357816926,0.775899430676497,0,0,45092.8412747428,71854.2678463541,3957.78239115497
0.219,2.20131206567237,3.5488211191546,0.775851464918587,0,0,45094.1399178088,71858.2658285831,3957.58861988475
0.22,2.20144151361135,3.54870645068324,0.775803499276066,0,0,45095.4384368272,71862.2636260168,3957.39484011902
0.221,2.20157095573707,3.54859177628023,0.775755533749518,0,0,45096.7368324382,71866.2612396722,3957.20105185655
0.222,2.20170039204771,3.54847709594727,0.775707568339525,0,0,45098.0351051823,71870.2586703999,3957.00725509671
0.223,2.20182982254142,3.54836240968606,0.77565960304667,0,0,45099.3332555776,71874.2559190136,3956.81344983902
0.224,2.20195924721639,3.54824771749831,0.775611637871534,0,0,45100.6312840656,71878.2529861988,3956.6196360835
0.225,2.20208866607079,3.54813301938572,0.7755636728147,0,0,45101.9291910805,71882.2498726294,3956.42581383021
0.226,2.20221807910278,3.54801831534997,0.77551570787675,0,0,45103.226976997,71886.2465788795,3956.2319830796
0.227,2.20234748631055,3.54790360539279,0.775467743058264,0,0,45104.5246422001,71890.2431055408,3956.03814383204
0.228,2.20247688769227,3.54778888951587,0.775419778359824,0,0,45105.8221869971,71894.2394530753,3955.84429608841
0.229,2.20260628324612,3.5476741677209,0.775371813782012,0,0,45107.1196116375,71898.2356218483,3955.65043984995
0.23,2.20273567297026,3.54755944000959,0.775323849325409,0,0,45108.4169163994,71902.2316122731,3955.45657511771
0.231,2.20286505686289,3.54744470638365,0.775275884990596,0,0,45109.7141015092,71906.227424677,3955.2627018931
0.232,2.20299443492217,3.54732996684476,0.775227920778154,0,0,45111.0111672202,71910.2230594319,3955.06882017732
0.233,2.20312380714628,3.54721522139465,0.775179956688663,0,0,45112.3081136965,71914.2185167607,3954.87492997218
0.234,2.2032531735334,3.54710047003499,0.775131992722704,0,0,45113.604941113,71918.2137969045,3954.68103127939
0.235,2.20338253408171,3.54698571276749,0.775084028880858,0,0,45114.9016496627,71922.2089001351,3954.48712410056
0.236,2.20351188878939,3.54687094959387,0.775036065163706,0,0,45116.1982394303,71926.2038265429,3954.29320843799
0.237,2.20364123765462,3.54675618051581,0.774988101571828,0,0,45117.4947106032,71930.1985763898,3954.09928429331
0.238,2.20377058067558,3.54664140553502,0.774940138105805,0,0,45118.7910632915,71934.1931498092,3953.90535166867
0.239,2.20389991785045,3.54652662465321,0.774892174766217,0,0,45120.087297598,71938.1875469217,3953.71141056626
0.24,2.20402924917741,3.54641183787207,0.774844211553644,0,0,45121.3834135886,71942.1817677869,3953.51746098848
0.241,2.20415857465464,3.5462970451933,0.774796248468667,0,0,45122.6794114126,71946.1758126031,3953.32350293724
0.242,2.20428789428033,3.54618224661862,0.774748285511866,0,0,45123.9752911217,71950.169681406,3953.12953641503
0.243,2.20441720805265,3.54606744214971,0.774700322683821,0,0,45125.271052797,71954.1633742805,3952.93556142419
0.244,2.20454651596979,3.54595263178829,0.774652359985113,0,0,45126.5666964909,71958.1568912631,3952.74157796723
0.245,2.20467581802994,3.54583781553606,0.774604397416321,0,0,45127.8622222605,71962.1502323989,3952.54758604661
0.246,2.20480511423127,3.54572299339471,0.774556434978026,0,0,45129.1576301567,71966.1433977219,3952.35358566487
